GeneSymbol,rhythmicity_mm_Heart,rhythmicity_mm_Lung,rhythmicity_hs_Lung,GtexMeanTPMv8_hs_Muscle.Skeletal,GSE38718_gender_hs_sm,GSE123878_exercise_Mm_sm
ADGRF5,11.5604,0.000167661,10.2417,4.13107,,0.068492329572532
ADGRG1,1.5857e-14,0.232053,0.728503,2.51578,,0.18227619612222
ADGRG2,0.0,19.7733,0.444243,0.20627,0.0191205536169927,0.293092493705335
ADGRG3,0.435121,10.9491,0.279336,0.676994,0.0699362249688056,0.155889448497199
ADGRG4,0.0,0.293059,,0.0462754,0.0141950895372527,
ADGRG5,0.0,0.0,,0.0855537,0.0060666830572664,
ADGRG6,9.37133,1.27268,4.29862,0.542113,0.138832339883877,0.411040621862941
ADGRG7,0.0,0.549954,,0.123366,0.0003132402391243,
ADGRL1,6.40356,8.67134,0.166651,1.02357,0.0330956447336952,0.430832662582392
ADGRL2,0.387747,10.3116,1.11391,1.75341,0.0503823324509027,0.0372666486281291
ADGRL3,0.308167,22.9918,,0.396357,,
ADGRL4,10.2101,4.34988,1.80053,3.43331,0.454111103389617,0.170275368776118
ADGRV1,1.44154e-15,1.27871e-05,,0.0573968,0.0172132144820218,
ADH1A,,,,0.237162,,
ADH1B,,,8.37481,5.25414,0.0280305952838331,
ADH1C,16.3496,10.9491,0.249833,4.14996,,0.0958677450937006
ADH4,7.38327e-10,1.93327e-13,,0.627217,0.0218011064868362,
ADH5,0.385274,9.55334,1.14195,5.36331,,0.040012909035454
ADH6,,,,0.082374,0.0208352213534138,
ADH7,0.0,15.9246,,0.0426207,,
ADHFE1,2.51057,0.864722,4.40249,5.09835,,0.382287459016426
ADI1,0.00299165,1.27319,3.42915,5.28864,0.055832382062861,0.458843712150031
ADIG,,,,0.0241957,0.139674558824987,
ADIPOQ,0.0511887,3.81986e-05,,1.80731,,0.520374838236868
ADIPOR1,0.000365745,6.1208,0.264128,6.19449,,0.231165195323904
ADIPOR2,0.0,3.75195,7.10212,4.68877,,0.0498209333529153
ADIRF,,,,0.893867,0.580999347198904,
ADK,1.66315,1.40839,0.356163,3.34392,,0.0691029319655174
ADM,13.3145,32.1602,0.00353072,5.28569,,0.100139041786229
ADM2,0.611593,1.93903e-12,,0.0390879,,
ADM5,,,0.310893,2.20607,,
ADNP,,,2.16149,4.31727,,
ADNP2,6.08354e-05,0.71537,1.73459,1.69724,,0.260982830712344
ADO,1.63054e-13,7.67609,0.421169,3.41794,0.0859018240756271,0.122806527520055
ADORA1,17.1437,1.26238,,1.03441,0.0896471446221403,0.164756835913883
ADORA2A,19.9883,3.95582,1.03384,1.1434,0.0536982454699846,0.715306427030494
ADORA2A-AS1,,,,0.21245,0.106107513715262,
ADORA2B,0.227138,18.5366,0.360755,0.492248,0.0063853063475454,0.454476690168177
