Gene Name	g8_g7.log2foldchange
SEMA3C	1.8
TTC38	0.3
ACAT1	1.6
GRAMD4	1.6
CELSR1	2.5
WNT8B	0.1
ZNF638	0.6
SLC25A40	0.4
TIMM21	0.8
ADD2	0.6
FGF4	1.4
RASAL2	0.7
VPS9D1	0.8
ZNF37A	0.1
MARK3	0.3
SLC25A3	1
FNDC3B	2.1
FOSL2	1.1
CACNG5	0
CACNG4	0.7
FRYL	0.5
TMEM131	0.9
FSCN1	3.4
ACTB	0.6
MOCOS	2.8
PLD1	4.2
ATP12A	2.2
WDR62	2.2
DLG1	0
RAB7A	0.9
BCAP29	0
SEC31B	0.6
SART3	0.1
ARHGAP15	0.9
TUBA3D	0.2
PAX2	2.6
EXOSC7	0.7
KIFAP3	1.1
MKRN2	0.4
MCM6	1.7
REXO2	0.3
RBM7	0.5
RBMS2	0.6
BAZ2A	0.5
PTPN23	0.8
MLH1	0.5
UNG	1.3
FMO4	0.1
KLHL20	0.4
RGS11	0.5
SLC46A1	0.3
PLXNA2	0.7
SPAG5	2.3
ANKRD13A	0.6
TPD52	0.2
ACACB	0.7
TRAF4	0.4
PAG1	0.4
GPATCH1	0.1
ICAM3	0.1
NT5C2	0.1
MCAM	0.5
GPC4	1.6
MBNL3	0.3
CAMSAP3	0.3
RAP1GAP	1.1
XAB2	0.1
ARHGEF1	1.7
STXBP2	0.2
MAP2K7	0.4
NMRK2	0
DGKD	1.1
CTTNBP2	3.5
ACTL6B	0.1
RARB	0.7
TOP2B	0.1
TM9SF3	0.6
NFKB2	1.3
UBE2T	2.3
PPP1R12B	0.5
DNAJC10	0.9
GTF3C1	0.2
IL4R	1.4
USP33	0.1
PAK3	1.1
CAPN6	1.2
DCX	2.6
SNRPA	1
SPAG6	2.9
EXOSC5	0.8
DYNC1I2	0.3
APBB1IP	0.4
LRCH4	1.3
FAM76B	0.7
SIRT6	0.1
TYR	0
POLD3	1.4
ACTN2	1.7
CAPZB	0.5
GPR137B	1.1
NAALAD2	1.1
JADE1	0.3
SLC25A43	0.4
UBE2A	0.3
FGFR1	0.9
FKBP6	2.1
SMC1B	1.4
FBLN1	2.9
ITGA8	2.6
CST7	2.2
MAP2	0.8
PIAS2	0.5
AMPH	2.6
ARAF	0.3
MCCC1	0.7
LAMP3	4.7
FAP	3.4
NEBL	3.7
ACER3	0.2
UBE2K	0.8
PIK3C3	0.2
N4BP2	0.1
TIGAR	1.8
TULP3	0.1
SYNJ2	0.4
ADCY2	4.6
PPP2R5C	0.1
PMS2P1	0.5
RBFOX1	3.7
GNB1	0.1
HOXA9	0
EDN1	0.5
MLLT10	0.4
ZCWPW1	1.4
ADCYAP1R1	3.4
FGF20	0
P2RY10	0.1
ITM2A	2.2
NRDC	0.3
VDAC3	1.7
PCM1	0.4
TNRC6C	1.3
CBFA2T2	1.2
BRINP1	1.6
ITCH	0
